Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
284;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №3 имени Героя Советского Союза Константина Матвеевича Трухинова""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №3 имени Героя Советского Союза Константина Матвеевича Трухинова г. Северодвинск;Северодвинск;город;;164520, Архангельская область, г. Северодвинск, ул. Железнодорожная, д. 21в
286;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа № 5""";МБОУ;СОО;школа;спец;математика;Средняя общеобразовательная школа № 5 г. Северодвинск;Северодвинск;город;;164524, Архангельская область, г. Северодвинск, ул. Мира, д. 23в
287;"муниципальное  автономное образовательное учреждение ""Средняя общеобразовательная школа № 6 с углубленным изучением иностранных языков""";МАОУ;СОО;школа с углубленным изучением;ин.яз.;;Средняя общеобразовательная школа № 6 с углубленным изучением иностранных языков;Северодвинск;город;;164515, Архангельская область, г. Северодвинск, ул. Ломоносова, д. 83
289;"Муниципальное бюджетное образовательное  учреждение  ""Гуманитарная гимназия № 8""";МБОУ;СОО;гимназия;спец;гуманитарная;Гуманитарная гимназия № 8 г. Северодвинск;Северодвинск;город;;164520, Архангельская область, г. Северодвинск, ул. Торцева, д. 12
290;"Муниципальное бюджетное образовательное учреждение""Средняя общеобразовательная школа №9""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №9 г. Северодвинск;Северодвинск;город;;164501, Архангельская область, г. Северодвинск, ул. Торцева, д. 36
291;"муниципальное бюджетное  образовательное учреждение ""Морская  кадетская школа имени адмирала Котова Павла Григорьевича""";МБОУ;СОО;школа;спец;морской;Морская  кадетская школа имени адмирала Котова Павла Григорьевича;Северодвинск;город;;164500, Архангельская область, г. Северодвинск, ул. Комсомольская, д. 7
292;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №11""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №11 г. Северодвинск;Северодвинск;город;;164521, Архангельская область, г. Северодвинск, ул. Строителей, д. 43а
293;"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №12""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №12;Северодвинск;город;;164504, Архангельская область, г. Северодвинск, ул. Гагарина, д. 24
294;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №13""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №13;Северодвинск;город;;164502, Архангельская область, г. Северодвинск, ул. Лебедева, д. 10 а
295;"муниципальное бюджетное образовательное учреждение  ""Северодвинская городская гимназия""";МБОУ;СОО;гимназия;спец;ин.яз.;Северодвинская городская гимназия г. Северодвинск;Северодвинск;город;;164501, Архангельская область, г. Северодвинск, ул. Торцева, д. 59
